f,a,p
1.00000000000000e-002	,-5.97474468449181e+000 ,8.96965926182879e+001  
1.25892541179417e-002	,-4.21339778776124e+000 ,7.66268646097737e+001  
1.58489319246111e-002	,-2.88473148390468e+000 ,6.42268323184642e+001  
1.99526231496888e-002	,-1.92808196208171e+000 ,5.29962225834013e+001  
2.51188643150958e-002	,-1.26532813510518e+000 ,4.32076060043683e+001  
3.16227766016838e-002	,-8.19545157064684e-001 ,3.49227507565308e+001  
3.98107170553497e-002	,-5.26028282372133e-001 ,2.80576189421293e+001  
5.01187233627273e-002	,-3.35594552543917e-001 ,2.24515152275456e+001  
6.30957344480194e-002	,-2.13254582188262e-001 ,1.79181515714040e+001  
7.94328234724282e-002	,-1.35167136895165e-001 ,1.42757220929583e+001  
1.00000000000000e-001	,-8.55336105816132e-002 ,1.13612630917076e+001  
1.25892541179417e-001	,-5.40704085633752e-002 ,9.03548384065854e+000  
1.58489319246111e-001	,-3.41596674844598e-002 ,7.18262581032083e+000  
1.99526231496888e-001	,-2.15733137977353e-002 ,5.70811506869534e+000  
2.51188643150958e-001	,-1.36224661786989e-002 ,4.53549464910907e+000  
3.16227766016838e-001	,-8.60207190261930e-003 ,3.60335771989039e+000  
3.98107170553498e-001	,-5.43292174094968e-003 ,2.86258682713606e+000  
5.01187233627273e-001	,-3.43272537019448e-003 ,2.27399535646407e+000  
6.30957344480194e-001	,-2.17044592604030e-003 ,1.80637016914085e+000  
7.94328234724282e-001	,-1.37390190056766e-003 ,1.43487446196812e+000  
1.00000000000000e+000	,-8.71272586454242e-004 ,1.13975779028121e+000  
1.25892541179417e+000	,-5.54112716313297e-004 ,9.05320680304379e-001  
1.58489319246112e+000	,-3.53985204038264e-004 ,7.19086800664046e-001  
1.99526231496888e+000	,-2.27704713666095e-004 ,5.71142679101592e-001  
2.51188643150958e+000	,-1.48021591488056e-004 ,4.53611842773115e-001  
3.16227766016838e+000	,-9.77416404731586e-005 ,3.60236401690844e-001  
3.98107170553498e+000	,-6.60153352808767e-005 ,2.86044308699118e-001  
5.01187233627273e+000	,-4.59964786288594e-005 ,2.27084836900575e-001  
6.30957344480194e+000	,-3.33649861458570e-005 ,1.80218318205450e-001  
7.94328234724283e+000	,-2.53948156885598e-005 ,1.42949010102502e-001  
1.00000000000000e+001	,-2.03658128910124e-005 ,1.13292221747324e-001  
1.25892541179417e+001	,-1.71925555382530e-005 ,8.96686390540894e-002  
1.58489319246112e+001	,-1.51901322783834e-005 ,7.08202291890333e-002  
1.99526231496888e+001	,-1.39263345558893e-005 ,5.57432501668834e-002  
2.51188643150959e+001	,-1.31283772759488e-005 ,4.36348001724589e-002  
3.16227766016839e+001	,-1.26240235052445e-005 ,3.38500612424301e-002  
3.98107170553498e+001	,-1.23044092161021e-005 ,2.58679609264794e-002  
5.01187233627273e+001	,-1.21005459123060e-005 ,1.92634235654866e-002  
6.30957344480195e+001	,-1.19684297592754e-005 ,1.36847336058975e-002  
7.94328234724284e+001	,-1.18795434714468e-005 ,8.83480553570684e-003  
1.00000000000000e+002	,-1.18147009250714e-005 ,4.45536303291241e-003  
1.25892541179417e+002	,-1.17599058334779e-005 ,3.13184825903541e-004  
1.58489319246112e+002	,-1.17033306385801e-005 ,-3.81231518401960e-003  
1.99526231496889e+002	,-1.16327635795704e-005 ,-8.14083493907990e-003  
2.51188643150959e+002	,-1.15329726965578e-005 ,-1.29028839529570e-002  
3.16227766016839e+002	,-1.13824180892246e-005 ,-1.83520588091649e-002  
3.98107170553498e+002	,-1.11486024671980e-005 ,-2.47785481577515e-002  
5.01187233627274e+002	,-1.07810566125462e-005 ,-3.25245864275779e-002  
6.30957344480195e+002	,-1.02004455896643e-005 ,-4.20026792743846e-002  
7.94328234724284e+002	,-9.28144423175007e-006 ,-5.37175714440193e-002  
1.00000000000000e+003	,-7.82568578073148e-006 ,-6.82931271343753e-002  
1.25892541179417e+003	,-5.51894436782394e-006 ,-8.65055547621841e-002  
1.58489319246112e+003	,-1.86330960371594e-006 ,-1.09324746330200e-001  
1.99526231496889e+003	,3.93028678399261e-006 ,-1.37965934573836e-001  
2.51188643150959e+003	,1.31123895365757e-005 ,-1.73954422224858e-001  
3.16227766016839e+003	,2.76649450062402e-005 ,-2.19206837257553e-001  
3.98107170553499e+003	,5.07290912474987e-005 ,-2.76133254816072e-001  
5.01187233627274e+003	,8.72831390546649e-005 ,-3.47765651245766e-001  
6.30957344480195e+003	,1.45217054209415e-004 ,-4.37919584865060e-001  
7.94328234724284e+003	,2.37035287430437e-004 ,-5.51397821305606e-001  
1.00000000000000e+004	,3.82555306900585e-004 ,-6.94246962211327e-001  
1.25892541179417e+004	,6.13183799876199e-004 ,-8.74081172798870e-001  
1.58489319246112e+004	,9.78692282399057e-004 ,-1.10049110444535e+000  
1.99526231496889e+004	,1.55795140299752e-003 ,-1.38556149895052e+000  
2.51188643150959e+004	,2.47593280841071e-003 ,-1.74452845422451e+000  
3.16227766016839e+004	,3.93062790336165e-003 ,-2.19661817890012e+000  
3.98107170553499e+004	,6.23564201833019e-003 ,-2.76612555651377e+000  
5.01187233627274e+004	,9.88752616692983e-003 ,-3.48381731004398e+000  
6.30957344480196e+004	,1.56720433874135e-002 ,-4.38878941616225e+000  
7.94328234724285e+004	,2.48314395460581e-002 ,-5.53098837824027e+000  
1.00000000000000e+005	,3.93265546365531e-002 ,-6.97475498579765e+000  
