Freq.	V(v2)
Step Information: X=10  (Run: 1/5)
1.00000000000000e-002	(-1.74019823255026e+002dB,-9.44142238655620e+001°)
1.25892541179417e-002	(-1.68266691565051e+002dB,-1.06643874493569e+002°)
1.58489319246111e-002	(-1.62943216732568e+002dB,-1.18376451347915e+002°)
1.99526231496888e-002	(-1.57989846033987e+002dB,-1.29077457922812e+002°)
2.51188643150958e-002	(-1.53329162326918e+002dB,-1.38446509856434e+002°)
3.16227766016838e-002	(-1.48884686090133e+002dB,-1.46399691245846e+002°)
3.98107170553497e-002	(-1.44591994036248e+002dB,-1.53003475312358e+002°)
5.01187233627273e-002	(-1.40402081004683e+002dB,-1.58404688907526e+002°)
6.30957344480194e-002	(-1.36280069907484e+002dB,-1.62778733617029e+002°)
7.94328234724282e-002	(-1.32202190459587e+002dB,-1.66298943384434e+002°)
1.00000000000000e-001	(-1.28152688936099e+002dB,-1.69121779468745e+002°)
1.25892541179417e-001	(-1.24121310229179e+002dB,-1.71381656450908e+002°)
1.58489319246111e-001	(-1.20101454711382e+002dB,-1.73190824878967e+002°)
1.99526231496888e-001	(-1.16088906228165e+002dB,-1.74641532827083e+002°)
2.51188643150958e-001	(-1.12080984072167e+002dB,-1.75808970051083e+002°)
3.16227766016838e-001	(-1.08075989383568e+002dB,-1.76754267521044e+002°)
3.98107170553498e-001	(-1.04072848501552e+002dB,-1.77527243568654e+002°)
5.01187233627273e-001	(-1.00070885237199e+002dB,-1.78168799765376e+002°)
6.30957344480194e-001	(-9.60696765248232e+001dB,-1.78712969572419e+002°)
7.94328234724282e-001	(-9.20689617440462e+001dB,-1.79188665554678e+002°)
1.00000000000000e+000	(-8.80685867199547e+001dB,-1.79621186152694e+002°)
1.25892541179417e+000	(-8.40684705451957e+001dB,1.79966453993194e+002°)
1.58489319246112e+000	(-8.00685881540947e+001dB,1.79552307685479e+002°)
1.99526231496888e+000	(-7.60689649219574e+001dB,1.79114332588308e+002°)
2.51188643150958e+000	(-7.20696821326675e+001dB,1.78629223578311e+002°)
3.16227766016838e+000	(-6.80708944859651e+001dB,1.78071180912394e+002°)
3.98107170553498e+000	(-6.40728633889329e+001dB,1.77410553195456e+002°)
5.01187233627273e+000	(-6.00760131263820e+001dB,1.76612291238502e+002°)
6.30957344480194e+000	(-5.60810218037536e+001dB,1.75634146705318e+002°)
7.94328234724283e+000	(-5.20889661140347e+001dB,1.74424551647807e+002°)
1.00000000000000e+001	(-4.81015497307030e+001dB,1.72920129272324e+002°)
1.25892541179417e+001	(-4.41214610232944e+001dB,1.71042827851081e+002°)
1.58489319246112e+001	(-4.01529283793183e+001dB,1.68696768157454e+002°)
1.99526231496888e+001	(-3.62025710348230e+001dB,1.65765104889905e+002°)
2.51188643150959e+001	(-3.22806756986659e+001dB,1.62107618904705e+002°)
3.16227766016839e+001	(-2.84030473694539e+001dB,1.57560524065243e+002°)
3.98107170553498e+001	(-2.45935401253556e+001dB,1.51941252852228e+002°)
5.01187233627273e+001	(-2.08871686525107e+001dB,1.45062784069776e+002°)
6.30957344480195e+001	(-1.73331634028411e+001dB,1.36763717849629e+002°)
7.94328234724284e+001	(-1.39963099524731e+001dB,1.26959412572396e+002°)
1.00000000000000e+002	(-1.09536484656423e+001dB,1.15711315800833e+002°)
1.25892541179417e+002	(-8.28341869661231e+000dB,1.03292197443103e+002°)
