Freq.	V(v1)	V(v2)
Step Information: X=100  (Run: 1/4)
1.00000000000000e-002	(-1.26720102118943e-005dB,-2.38510285200335e-004°)	(-2.43130558813397e-005dB,-3.11182987193126e-004°)
1.25892541179417e-002	(-1.26720319787256e-005dB,-3.00266659012727e-004°)	(-2.43130796115764e-005dB,-3.91756170295190e-004°)
1.58489319246111e-002	(-1.26720664785554e-005dB,-3.78013327345162e-004°)	(-2.43131172368465e-005dB,-4.93191798011271e-004°)
1.99526231496888e-002	(-1.26721211695031e-005dB,-4.75890583790703e-004°)	(-2.43131768652380e-005dB,-6.20891687403831e-004°)
2.51188643150958e-002	(-1.26722078375963e-005dB,-5.99110749165707e-004°)	(-2.43132713715229e-005dB,-7.81656323242421e-004°)
3.16227766016838e-002	(-1.26723452004584e-005dB,-7.54235746599818e-004°)	(-2.43134211512843e-005dB,-9.84047008615444e-004°)
3.98107170553497e-002	(-1.26725629073448e-005dB,-9.49526547870211e-004°)	(-2.43136585365839e-005dB,-1.23884178553796e-003°)
5.01187233627273e-002	(-1.26729079480731e-005dB,-1.19538310027134e-003°)	(-2.43140347699981e-005dB,-1.55960940499014e-003°)
6.30957344480194e-002	(-1.26734548035480e-005dB,-1.50489816172965e-003°)	(-2.43146310625920e-005dB,-1.96343191238321e-003°)
7.94328234724282e-002	(-1.26743215037665e-005dB,-1.89455453790147e-003°)	(-2.43155761080834e-005dB,-2.47181432876288e-003°)
1.00000000000000e-001	(-1.26756951352804e-005dB,-2.38510285166976e-003°)	(-2.43170739143765e-005dB,-3.11182987158891e-003°)
1.25892541179417e-001	(-1.26778721935387e-005dB,-3.00266658946168e-003°)	(-2.43194477789459e-005dB,-3.91756170226882e-003°)
1.58489319246111e-001	(-1.26813226027526e-005dB,-3.78013327212359e-003°)	(-2.43232101015196e-005dB,-4.93191797874978e-003°)
1.99526231496888e-001	(-1.26867911305076e-005dB,-4.75890583525726e-003°)	(-2.43291729869640e-005dB,-6.20891687131892e-003°)
2.51188643150958e-001	(-1.26954581645324e-005dB,-5.99110748637008e-003°)	(-2.43386235113304e-005dB,-7.81656322699830e-003°)
3.16227766016838e-001	(-1.27091944845365e-005dB,-7.54235745544924e-003°)	(-2.43536015868493e-005dB,-9.84047007532832e-003°)
3.98107170553498e-001	(-1.27309650855496e-005dB,-9.49526545765421e-003°)	(-2.43773402355658e-005dB,-1.23884178337787e-002°)
5.01187233627273e-001	(-1.27654691683185e-005dB,-1.19538309607174e-002°)	(-2.44149634616267e-005dB,-1.55960940068018e-002°)
6.30957344480194e-001	(-1.28201544426957e-005dB,-1.50489815335034e-002°)	(-2.44745922493814e-005dB,-1.96343190378372e-002°)
7.94328234724282e-001	(-1.29068247701983e-005dB,-1.89455452118253e-002°)	(-2.45690975182340e-005dB,-2.47181431160464e-002°)
1.00000000000000e+000	(-1.30441879726313e-005dB,-2.38510281831110e-002°)	(-2.47188782650596e-005dB,-3.11182983735372e-002°)
1.25892541179417e+000	(-1.32618939839710e-005dB,-3.00266652290240e-002°)	(-2.49562647554838e-005dB,-3.91756163396064e-002°)
1.58489319246112e+000	(-1.36069347395928e-005dB,-3.78013313932036e-002°)	(-2.53324969732847e-005dB,-4.93191784245704e-002°)
1.99526231496888e+000	(-1.41537874544380e-005dB,-4.75890557028000e-002°)	(-2.59287848136290e-005dB,-6.20891659937914e-002°)
2.51188643150958e+000	(-1.50204905379030e-005dB,-5.99110695767097e-002°)	(-2.68738372996988e-005dB,-7.81656268440715e-002°)
3.16227766016838e+000	(-1.63941221803600e-005dB,-7.54235640055591e-002°)	(-2.83716443751455e-005dB,-9.84046899271675e-002°)
3.98107170553498e+000	(-1.85711811687025e-005dB,-9.49526335286562e-002°)	(-3.07455081588171e-005dB,-1.23884156736849e-001°)
5.01187233627273e+000	(-2.20215860515071e-005dB,-1.19538267611130e-001°)	(-3.45078276028103e-005dB,-1.55960896968491e-001°)
6.30957344480194e+000	(-2.74901064875856e-005dB,-1.50489731541941e-001°)	(-4.04706992926592e-005dB,-1.96343104383541e-001°)
7.94328234724283e+000	(-3.61571203531271e-005dB,-1.89455284929152e-001°)	(-4.99212070437268e-005dB,-2.47181259578317e-001°)
1.00000000000000e+001	(-4.98933941831487e-005dB,-2.38509948245310e-001°)	(-6.48992348620248e-005dB,-3.11182641384294e-001°)
1.25892541179417e+001	(-7.16638772407594e-005dB,-3.00265986700052e-001°)	(-8.86377650242316e-005dB,-3.91755480316850e-001°)
1.58489319246112e+001	(-1.06167657553027e-004dB,-3.78011985908139e-001°)	(-1.26260688927864e-004dB,-4.93190421326619e-001°)
1.99526231496888e+001	(-1.60852187552315e-004dB,-4.75887907281840e-001°)	(-1.85888726234868e-004dB,-6.20888940566725e-001°)
2.51188643150959e+001	(-2.47520632306249e-004dB,-5.99105408859671e-001°)	(-2.80392096669803e-004dB,-7.81650842613162e-001°)
3.16227766016839e+001	(-3.84879115702578e-004dB,-7.54225091387202e-001°)	(-4.30168086900324e-004dB,-9.84036073421412e-001°)
3.98107170553498e+001	(-6.02573258677203e-004dB,-9.49505288238347e-001°)	(-6.67542617885760e-004dB,-1.23881996727043e+000°)
5.01187233627273e+001	(-9.47584216655621e-004dB,-1.19534068271668e+000°)	(-1.04374480337149e-003dB,-1.55956587281299e+000°)
6.30957344480195e+001	(-1.49436208858290e-003dB,-1.50481353070426e+000°)	(-1.63995722473376e-003dB,-1.96334505740060e+000°)
7.94328234724284e+001	(-2.36087717927320e-003dB,-1.89438568668026e+000°)	(-2.58482025698088e-003dB,-2.47164104018582e+000°)
1.00000000000000e+002	(-3.73403666769995e-003dB,-2.38476598041145e+000°)	(-4.08215150995838e-003dB,-3.11148414671180e+000°)
1.25892541179417e+002	(-5.90990991416498e-003dB,-3.00199454163426e+000°)	(-6.45482033806155e-003dB,-3.91687198937118e+000°)
1.58489319246112e+002	(-9.35733728017599e-003dB,-3.77879267239559e+000°)	(-1.02141391349226e-002dB,-4.93054213327400e+000°)
1.99526231496889e+002	(-1.48183823272060e-002dB,-4.75623197300100e+000°)	(-1.61694773203371e-002dB,-6.20617268676735e+000°)
2.51188643150959e+002	(-2.34666339008154e-002dB,-5.98577554386611e+000°)	(-2.56010768068496e-002dB,-7.81109098007883e+000°)
3.16227766016839e+002	(-3.71558387198856e-002dB,-7.53172866176090e+000°)	(-4.05316689896321e-002dB,-9.82956135969222e+000°)
3.98107170553498e+002	(-5.88083268240078e-002dB,-9.47408922543706e+000°)	(-6.41512834313269e-002dB,-1.23666831539246e+001°)
