f,a,p
1.00000000000000e-002	,-1.19512649323887e-005 ,-7.27441760205113e-005  
1.25892541179417e-002	,-1.19512668928691e-005 ,-9.15794917522435e-005  
1.58489319246111e-002	,-1.19512700047581e-005 ,-1.15291749366082e-004  
1.99526231496888e-002	,-1.19512749266923e-005 ,-1.45143713047140e-004  
2.51188643150958e-002	,-1.19512827396842e-005 ,-1.82725108717158e-004  
3.16227766016838e-002	,-1.19512951158799e-005 ,-2.30037282736786e-004  
3.98107170553497e-002	,-1.19513147332205e-005 ,-2.89599780897228e-004  
5.01187233627273e-002	,-1.19513458193235e-005 ,-3.64584523421162e-004  
6.30957344480194e-002	,-1.19513950859172e-005 ,-4.58984721281007e-004  
7.94328234724282e-002	,-1.19514731734056e-005 ,-5.77827529244405e-004  
1.00000000000000e-001	,-1.19515969334343e-005 ,-7.27441760196991e-004  
1.25892541179417e-001	,-1.19517930808039e-005 ,-9.15794917506230e-004  
1.58489319246111e-001	,-1.19521039534057e-005 ,-1.15291749362848e-003  
1.99526231496888e-001	,-1.19525966540589e-005 ,-1.45143713040689e-003  
2.51188643150958e-001	,-1.19533775328001e-005 ,-1.82725108704285e-003  
3.16227766016838e-001	,-1.19546151388733e-005 ,-2.30037282711101e-003  
3.98107170553498e-001	,-1.19565766106413e-005 ,-2.89599780845981e-003  
5.01187233627273e-001	,-1.19596853434120e-005 ,-3.64584523318912e-003  
6.30957344480194e-001	,-1.19646123460919e-005 ,-4.58984721076989e-003  
7.94328234724282e-001	,-1.19724211151958e-005 ,-5.77827528837336e-003  
1.00000000000000e+000	,-1.19847971923570e-005 ,-7.27441759384781e-003  
1.25892541179417e+000	,-1.20044119390547e-005 ,-9.15794915885658e-003  
1.58489319246112e+000	,-1.20354992264807e-005 ,-1.15291749039502e-002  
1.99526231496888e+000	,-1.20847692567284e-005 ,-1.45143712395527e-002  
2.51188643150958e+000	,-1.21628569780938e-005 ,-1.82725107417018e-002  
3.16227766016838e+000	,-1.22866176895666e-005 ,-2.30037280142667e-002  
3.98107170553498e+000	,-1.24827651981407e-005 ,-2.89599775721279e-002  
5.01187233627273e+000	,-1.27936380540263e-005 ,-3.64584513093782e-002  
6.30957344480194e+000	,-1.32863383233658e-005 ,-4.58984700675164e-002  
7.94328234724283e+000	,-1.40672156457756e-005 ,-5.77827488130310e-002  
1.00000000000000e+001	,-1.53048228247935e-005 ,-7.27441678163480e-002  
1.25892541179417e+001	,-1.72662980778370e-005 ,-9.15794753827525e-002  
1.58489319246112e+001	,-2.03750270470997e-005 ,-1.15291716704548e-001  
1.99526231496888e+001	,-2.53020308742965e-005 ,-1.45143647878483e-001  
2.51188643150959e+001	,-3.31108068398508e-005 ,-1.82724978687544e-001  
3.16227766016839e+001	,-4.54868855507676e-005 ,-2.30037023290289e-001  
3.98107170553498e+001	,-6.51016555587794e-005 ,-2.89599263222951e-001  
5.01187233627273e+001	,-9.61889888355688e-005 ,-3.64583490492131e-001  
6.30957344480195e+001	,-1.45459136165172e-004 ,-4.58982660212213e-001  
7.94328234724284e+001	,-2.23547167722292e-004 ,-5.77823416541815e-001  
1.00000000000000e+002	,-3.47308630117003e-004 ,-7.27433553236491e-001  
1.25892541179417e+002	,-5.43457995993841e-004 ,-9.15778539191311e-001  
1.58489319246112e+002	,-8.54335391869964e-004 ,-1.15288480429872e+000  
1.99526231496889e+002	,-1.34704659420564e-003 ,-1.45137187438053e+000  
2.51188643150959e+002	,-2.12794948013292e-003 ,-1.82712078376946e+000  
3.16227766016839e+002	,-3.36561355203432e-003 ,-2.30011252808236e+000  
3.98107170553498e+002	,-5.32720371287354e-003 ,-2.89547750043936e+000  
5.01187233627274e+002	,-8.43611647944231e-003 ,-3.64480427068592e+000  
6.30957344480195e+002	,-1.33632025487340e-002 ,-4.58776209855843e+000  
7.94328234724284e+002	,-2.11708759375265e-002 ,-5.77409256839388e+000  
1.00000000000000e+003	,-3.35399613895707e-002 ,-7.26601429876898e+000  
1.25892541179417e+003	,-5.31246924400562e-002 ,-9.14104686435328e+000  
1.58489319246112e+003	,-8.41035304938421e-002 ,-1.14951696960013e+001  
1.99526231496889e+003	,-1.33023736829069e-001 ,-1.44460371973666e+001  
2.51188643150959e+003	,-2.10073334519265e-001 ,-1.81355736433272e+001  
3.16227766016839e+003	,-3.30939487908553e-001 ,-2.27305118369890e+001  
3.98107170553499e+003	,-5.19381871555945e-001 ,-2.84181326588049e+001  
5.01187233627274e+003	,-8.10461926159926e-001 ,-3.53925464067215e+001  
6.30957344480195e+003	,-1.25384088268385e+000 ,-4.38248821099850e+001  
7.94328234724284e+003	,-1.91548526114201e+000 ,-5.38110235934686e+001  
1.00000000000000e+004	,-2.87464358187969e+000 ,-6.52983475886663e+001  
1.25892541179417e+004	,-4.21243333610399e+000 ,-7.80140394219815e+001  
1.58489319246112e+004	,-5.99165168495036e+000 ,-9.14450144896842e+001  
1.99526231496889e+004	,-8.23544215049812e+000 ,-1.04918496233845e+002  
2.51188643150959e+004	,-1.09181967777371e+001 ,-1.17770427286151e+002  
3.16227766016839e+004	,-1.39755227354292e+001 ,-1.29511785068040e+002  
3.98107170553499e+004	,-1.73257859050220e+001 ,-1.39905722315137e+002  
5.01187233627274e+004	,-2.08898695214838e+001 ,-1.48947832913420e+002  
6.30957344480196e+004	,-2.46018928681784e+001 ,-1.56801816284816e+002  
7.94328234724285e+004	,-2.84113868310286e+001 ,-1.63743027515806e+002  
1.00000000000000e+005	,-3.22801137143033e+001 ,-1.70138035419984e+002  
