Freq.	V(v2)
Step Information: X=10  (Run: 1/5)
1.00000000000000e-002	(-2.35894870822138e-005dB,-8.06161849872587e-005°)
1.25892541179417e-002	(-2.35894890600548e-005dB,-1.01489763882353e-004°)
1.58489319246111e-002	(-2.35894921999136e-005dB,-1.27768042788471e-004°)
1.99526231496888e-002	(-2.35894971642848e-005dB,-1.60850435881583e-004°)
2.51188643150958e-002	(-2.35895050351470e-005dB,-2.02498701229441e-004°)
3.16227766016838e-002	(-2.35895175155070e-005dB,-2.54930760832952e-004°)
3.98107170553497e-002	(-2.35895372890954e-005dB,-3.20938813060413e-004°)
5.01187233627273e-002	(-2.35895686375378e-005dB,-4.04038027392390e-004°)
6.30957344480194e-002	(-2.35896183092162e-005dB,-5.08653740014627e-004°)
7.94328234724282e-002	(-2.35896970390530e-005dB,-6.40357119106879e-004°)
1.00000000000000e-001	(-2.35898218127584e-005dB,-8.06161849863606e-004°)
1.25892541179417e-001	(-2.35900195669648e-005dB,-1.01489763880561e-003°)
1.58489319246111e-001	(-2.35903329916005e-005dB,-1.27768042784895e-003°)
1.99526231496888e-001	(-2.35908297315282e-005dB,-1.60850435874449e-003°)
2.51188643150958e-001	(-2.35916170202535e-005dB,-2.02498701215205e-003°)
3.16227766016838e-001	(-2.35928647794879e-005dB,-2.54930760804548e-003°)
3.98107170553498e-001	(-2.35948423475888e-005dB,-3.20938813003740e-003°)
5.01187233627273e-001	(-2.35979765775551e-005dB,-4.04038027279313e-003°)
6.30957344480194e-001	(-2.36029440019106e-005dB,-5.08653739789008e-003°)
7.94328234724282e-001	(-2.36108168342107e-005dB,-6.40357118656710e-003°)
1.00000000000000e+000	(-2.36232944497337e-005dB,-8.06161848965402e-003°)
1.25892541179417e+000	(-2.36430701182966e-005dB,-1.01489763701345e-002°)
1.58489319246112e+000	(-2.36744124509711e-005dB,-1.27768042427313e-002°)
1.99526231496888e+000	(-2.37240866960560e-005dB,-1.60850435160980e-002°)
2.51188643150958e+000	(-2.38028150600138e-005dB,-2.02498699791647e-002°)
3.16227766016838e+000	(-2.39275911194818e-005dB,-2.54930757964177e-002°)
3.98107170553498e+000	(-2.41253478497461e-005dB,-3.20938807336455e-002°)
5.01187233627273e+000	(-2.44387711199072e-005dB,-4.04038015971592e-002°)
6.30957344480194e+000	(-2.49355135105698e-005dB,-5.08653717227140e-002°)
7.94328234724283e+000	(-2.57227970828025e-005dB,-6.40357073639867e-002°)
1.00000000000000e+001	(-2.69705573280659e-005dB,-8.06161759144995e-002°)
1.25892541179417e+001	(-2.89481236842570e-005dB,-1.01489745779820e-001°)
1.58489319246112e+001	(-3.20823542733932e-005dB,-1.27768006669177e-001°)
