f,a,p
1.00000000000000e-002	,-2.36208512615930e-005 ,-7.93423806528620e-004  
1.25892541179417e-002	,-2.36210534208599e-005 ,-9.98861392354396e-004  
1.58489319246111e-002	,-2.36213738176033e-005 ,-1.25749198968120e-003  
1.99526231496888e-002	,-2.36218816020053e-005 ,-1.58308862090963e-003  
2.51188643150958e-002	,-2.36226864097182e-005 ,-1.99299049393016e-003  
3.16227766016838e-002	,-2.36239619329846e-005 ,-2.50902637816284e-003  
3.98107170553497e-002	,-2.36259834967243e-005 ,-3.15867706611151e-003  
5.01187233627273e-002	,-2.36291874622322e-005 ,-3.97653882574113e-003  
6.30957344480194e-002	,-2.36342653920837e-005 ,-5.00616577783752e-003  
7.94328234724282e-002	,-2.36423133882230e-005 ,-6.30238931162985e-003  
1.00000000000000e-001	,-2.36550685881370e-005 ,-7.93423805595080e-003  
1.25892541179417e-001	,-2.36752842314139e-005 ,-9.98861390491739e-003  
1.58489319246111e-001	,-2.37073238577982e-005 ,-1.25749198596471e-002  
1.99526231496888e-001	,-2.37581032475503e-005 ,-1.58308861349425e-002  
2.51188643150958e-001	,-2.38385831544950e-005 ,-1.99299047913454e-002  
3.16227766016838e-001	,-2.39661352094344e-005 ,-2.50902634864171e-002  
3.98107170553498e-001	,-2.41682915898428e-005 ,-3.15867700720910e-002  
5.01187233627273e-001	,-2.44886878569389e-005 ,-3.97653870821538e-002  
6.30957344480194e-001	,-2.49964816862076e-005 ,-5.00616554334282e-002  
7.94328234724282e-001	,-2.58012806059762e-005 ,-6.30238884375144e-002  
1.00000000000000e+000	,-2.70768008104189e-005 ,-7.93423712241072e-002  
1.25892541179417e+000	,-2.90983637102656e-005 ,-9.98861204226029e-002  
1.58489319246112e+000	,-3.23023240565364e-005 ,-1.25749161431584e-001  
1.99526231496888e+000	,-3.73802566338960e-005 ,-1.58308787195753e-001  
2.51188643150958e+000	,-4.54282314798554e-005 ,-1.99298899957507e-001  
3.16227766016838e+000	,-5.81833971658814e-005 ,-2.50902339653501e-001  
3.98107170553498e+000	,-7.83989350829557e-005 ,-3.15867111698999e-001  
5.01187233627273e+000	,-1.10438309687147e-004 ,-3.97652695570886e-001  
6.30957344480194e+000	,-1.61217060722000e-004 ,-5.00614209409075e-001  
7.94328234724283e+000	,-2.41695365607593e-004 ,-6.30234205659957e-001  
1.00000000000000e+001	,-3.69243396254240e-004 ,-7.93414377058274e-001  
1.25892541179417e+001	,-5.71389666934872e-004 ,-9.98842578344664e-001  
1.58489319246112e+001	,-8.91760534291361e-004 ,-1.25745445160958e+000  
1.99526231496888e+001	,-1.39949057897012e-003 ,-1.58301372518070e+000  
2.51188643150959e+001	,-2.20412929245915e-003 ,-1.99284106543322e+000  
3.16227766016839e+001	,-3.47924709238493e-003 ,-2.50872825481458e+000  
3.98107170553498e+001	,-5.49979941246477e-003 ,-3.15808231308012e+000  
5.01187233627273e+001	,-8.70122204806972e-003 ,-3.97535239426058e+000  
6.30957344480195e+001	,-1.37727832120248e-002 ,-5.00379934744495e+000  
7.94328234724284e+001	,-2.18047657876849e-002 ,-6.29767022615780e+000  
1.00000000000000e+002	,-3.45198083230425e-002 ,-7.92483033690603e+000  
1.25892541179417e+002	,-5.46347504776339e-002 ,-9.96986856712252e+000  
1.58489319246112e+002	,-8.64221888700098e-002 ,-1.25375983903364e+001  
1.99526231496889e+002	,-1.36571063338899e-001 ,-1.57566725886263e+001  
2.51188643150959e+002	,-2.15478825839354e-001 ,-1.97826197966751e+001  
3.16227766016839e+002	,-3.39127279547074e-001 ,-2.47988507806377e+001  
3.98107170553498e+002	,-5.31653856763943e-001 ,-3.10129078088755e+001  
5.01187233627274e+002	,-8.28528521747799e-001 ,-3.86434324191134e+001  
6.30957344480195e+002	,-1.27971283234928e+000 ,-4.78916753939662e+001  
7.94328234724284e+002	,-1.95115848437015e+000 ,-5.88922412756125e+001  
1.00000000000000e+003	,-2.92173738797313e+000 ,-7.16459351959380e+001  
1.25892541179417e+003	,-4.27250678368643e+000 ,-8.59570870989173e+001  
1.58489319246112e+003	,-6.06844416156796e+000 ,-1.01420363306574e+002  
1.99526231496889e+003	,-8.33973311697418e+000 ,-1.17498168952231e+002  
2.51188643150959e+003	,-1.10743217028353e+001 ,-1.33675918040045e+002  
3.16227766016839e+003	,-1.42280556022381e+001 ,-1.49617035622804e+002  
3.98107170553499e+003	,-1.77466855138396e+001 ,-1.65237256516513e+002  
5.01187233627274e+003	,-2.15880990770378e+001 ,1.79319823406331e+002  
6.30957344480195e+003	,-2.57369896728536e+001 ,1.63770370932806e+002  
7.94328234724284e+003	,-3.02100373216801e+001 ,1.47798505058668e+002  
1.00000000000000e+004	,-3.50514192701324e+001 ,1.31153622339911e+002  
1.25892541179417e+004	,-4.03173468169652e+001 ,1.13697349671669e+002  
1.58489319246112e+004	,-4.60485641526356e+001 ,9.53291737647031e+001  
1.99526231496889e+004	,-5.22300357289916e+001 ,7.57064255376383e+001  
2.51188643150959e+004	,-5.87194778450011e+001 ,5.37755815533558e+001  
3.16227766016839e+004	,-6.50764074323141e+001 ,2.77027979504149e+001  
3.98107170553499e+004	,-7.03855549311618e+001 ,-2.52922540039759e+000  
5.01187233627274e+004	,-7.39806812505597e+001 ,-3.10022258404025e+001  
6.30957344480196e+004	,-7.64058386648540e+001 ,-5.21661192225666e+001  
7.94328234724285e+004	,-7.84204637069111e+001 ,-6.67260489604520e+001  
1.00000000000000e+005	,-8.03389747103767e+001 ,-7.73607367307171e+001  
