T,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
0,646,656,666,676,686,696
1,647,657,667,677,687,697
2,648,658,668,678,688,698
3,649,659,669,679,689,699
4,650,660,670,680,690,700
5,651,661,671,681,691,701
6,652,662,672,682,692,702
7,653,663,673,683,693,703
8,654,664,674,684,694,704
9,655,665,675,685,695,705
10,656,666,676,686,696,706
11,657,667,677,687,697,707
12,658,668,678,688,698,708
13,659,669,679,689,699,709
14,660,670,680,690,700,710
15,661,671,681,691,701,711
16,662,672,682,692,702,712
17,663,673,683,693,703,713
18,664,674,684,694,704,714
19,665,675,685,695,705,715
20,666,676,686,696,706,716
21,667,677,687,697,707,717
22,668,678,688,698,708,718
23,669,679,689,699,709,719
24,670,680,690,700,710,720
25,671,681,691,701,711,721
26,672,682,692,702,712,722
27,673,683,693,703,713,723
28,674,684,694,704,714,724
29,675,685,695,705,715,725
30,676,686,696,706,716,726
31,677,687,697,707,717,727
32,678,688,698,708,718,728
33,679,689,699,709,719,729
34,680,690,700,710,720,730
35,681,691,701,711,721,731
36,682,692,702,712,722,732
37,683,693,703,713,723,733
38,684,694,704,714,724,734
39,685,695,705,715,725,735
40,686,696,706,716,726,736
41,687,697,707,717,727,737
42,688,698,708,718,728,738
43,689,699,709,719,729,739
44,690,700,710,720,730,740
45,691,701,711,721,731,741
46,692,702,712,722,732,742
47,693,703,713,723,733,743
48,694,704,714,724,734,744
49,695,705,715,725,735,745
50,696,706,716,726,736,746
51,697,707,717,727,737,747
52,698,708,718,728,738,748
53,699,709,719,729,739,749
54,700,710,720,730,740,750
55,701,711,721,731,741,751
56,702,712,722,732,742,752
57,703,713,723,733,743,753
58,704,714,724,734,744,754
59,705,715,725,735,745,755
60,706,716,726,736,746,756
61,707,717,727,737,747,757
62,708,718,728,738,748,758
63,709,719,729,739,749,759
64,710,720,730,740,750,760
65,711,721,731,741,751,761
66,712,722,732,742,752,762
67,713,723,733,743,753,763
68,714,724,734,744,754,764
69,715,725,735,745,755,765
70,716,726,736,746,756,766
71,717,727,737,747,757,767
72,718,728,738,748,758,768
73,719,729,739,749,759,769
74,720,730,740,750,760,770
75,721,731,741,751,761,771
76,722,732,742,752,762,772
77,723,733,743,753,763,773
78,724,734,744,754,764,774
79,725,735,745,755,765,775
80,726,736,746,756,766,776
81,727,737,747,757,767,777
82,728,738,748,758,768,778
83,729,739,749,759,769,779
84,730,740,750,760,770,780
85,731,741,751,761,771,781
86,732,742,752,762,772,782
87,733,743,753,763,773,783
88,734,744,754,764,774,784
89,735,745,755,765,775,785
90,736,746,756,766,776,786
91,737,747,757,767,777,787
92,738,748,758,768,778,788
93,739,749,759,769,779,789
94,740,750,760,770,780,790
95,741,751,761,771,781,791
96,742,752,762,772,782,792
97,743,753,763,773,783,793
98,744,754,764,774,784,794
99,745,755,765,775,785,795
100,746,756,766,776,786,796
101,747,757,767,777,787,797
102,748,758,768,778,788,798
103,749,759,769,779,789,799
104,750,760,770,780,790,800
105,751,761,771,781,791,801
106,752,762,772,782,792,802
107,753,763,773,783,793,803
108,754,764,774,784,794,804
109,755,765,775,785,795,805
110,756,766,776,786,796,806
111,757,767,777,787,797,807
112,758,768,778,788,798,808
113,759,769,779,789,799,809
114,760,770,780,790,800,810
115,761,771,781,791,801,811
116,762,772,782,792,802,812
117,763,773,783,793,803,813
118,764,774,784,794,804,814
119,765,775,785,795,805,815
120,766,776,786,796,806,816
121,767,777,787,797,807,817
122,768,778,788,798,808,818
123,769,779,789,799,809,819
124,770,780,790,800,810,820
125,771,781,791,801,811,821
126,772,782,792,802,812,822
127,773,783,793,803,813,823
128,774,784,794,804,814,824
129,775,785,795,805,815,825
130,776,786,796,806,816,826
131,777,787,797,807,817,827
132,778,788,798,808,818,828
133,779,789,799,809,819,829
134,780,790,800,810,820,830
135,781,791,801,811,821,831
136,782,792,802,812,822,832
137,783,793,803,813,823,833
138,784,794,804,814,824,834
139,785,795,805,815,825,835
140,786,796,806,816,826,836
141,787,797,807,817,827,837
142,788,798,808,818,828,838
143,789,799,809,819,829,839
144,790,800,810,820,830,840
145,791,801,811,821,831,841
146,792,802,812,822,832,842
147,793,803,813,823,833,843
148,794,804,814,824,834,844
149,795,805,815,825,835,845
150,796,806,816,826,836,846
151,797,807,817,827,837,847
152,798,808,818,828,838,848
153,799,809,819,829,839,849
154,800,810,820,830,840,850
155,801,811,821,831,841,851
156,802,812,822,832,842,852
157,803,813,823,833,843,853
158,804,814,824,834,844,854
159,805,815,825,835,845,855
160,806,816,826,836,846,856
161,807,817,827,837,847,857
162,808,818,828,838,848,858
163,809,819,829,839,849,859
164,810,820,830,840,850,860
165,811,821,831,841,851,861
166,812,822,832,842,852,862
167,813,823,833,843,853,863
168,814,824,834,844,854,864
169,815,825,835,845,855,865
170,816,826,836,846,856,866
171,817,827,837,847,857,867
172,818,828,838,848,858,868
173,819,829,839,849,859,869
174,820,830,840,850,860,870
175,821,831,841,851,861,871
176,822,832,842,852,862,872
177,823,833,843,853,863,873
178,824,834,844,854,864,874
179,825,835,845,855,865,875
180,826,836,846,856,866,876
181,827,837,847,857,867,877
182,828,838,848,858,868,878
183,829,839,849,859,869,879
184,830,840,850,860,870,880
185,831,841,851,861,871,881
186,832,842,852,862,872,882
187,833,843,853,863,873,883
188,834,844,854,864,874,884
189,835,845,855,865,875,885
190,836,846,856,866,876,886
191,837,847,857,867,877,887
192,838,848,858,868,878,888
193,839,849,859,869,879,889
194,840,850,860,870,880,890
195,841,851,861,871,881,891
196,842,852,862,872,882,892
197,843,853,863,873,883,893
198,844,854,864,874,884,894
199,845,855,865,875,885,895
200,846,856,866,876,886,896
201,847,857,867,877,887,897
202,848,858,868,878,888,898
203,849,859,869,879,889,899
204,850,860,870,880,890,900
205,851,861,871,881,891,901
206,852,862,872,882,892,902
207,853,863,873,883,893,903
208,854,864,874,884,894,904
209,855,865,875,885,895,905
210,856,866,876,886,896,906
211,857,867,877,887,897,907
212,858,868,878,888,898,908
213,859,869,879,889,899,909
214,860,870,880,890,900,910
215,861,871,881,891,901,911
216,862,872,882,892,902,912
